ref,the,publication,city,state,country,award,section,section_multiple,CHAP,SUBFOLDER,page_designer,est,page,comment,cat,general_category,specific_category,headline,name1,title1,name2,title2,name3,title3,name4,title4,name5,title5,name6,title6,name7,title7,name8,title8,name9,title9,name10,title10,,SECTION,PRELIM COUNT,,SECTION,GENERAL CATEGORY,PRELIM COUNT,,CHAP,winners,entries,,,SUBFOLDER,,,,AWARD,
407,,Minneapolis Star Tribune,Minneapolis,Minn.,,Award of Excellence,08-VISUAL,MED-MST1,04-MED,,SL,,40,,15E,Photography [Multiple Photos],Photo Page Design,Always Electrifying,Kim Maxwell Vu,Senior Designer,Greg Mees,Lead News Designer,Deb Pastner,Director of Photography,Josh Penrod,Presentation Director,Derek Simmons,A.M.E./Visuals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
574,,Minneapolis Star Tribune,Minneapolis,Minn.,,Award of Excellence,09-SC,MED-MST1,04-MED,,SL,,40,,10D,Reprints,,Prince,Derek Simmons,A.M.E./Visuals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
536,,Minneapolis Star Tribune,Minneapolis,Minn.,,Award of Excellence,09-SC,MED-MST1,04-MED,,SL,,40,,09A,Special Coverage,News,Prince Obituary,Staff ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,,Minneapolis Star Tribune,Minneapolis,Minn.,,Silver,04-MED,MED-MST1,04-MED,,SL,2.00,40,,05A,Special News Topics,Editor's Choice: Local/Regional,Purple Majesty,Greg Mees,Lead News Designer,Mike Rice,Features Design Director,Derek Simmons,A.M.E./Visuals,Brandon Ferrill,Designer,Kim Maxwell Vu,Senior Designer,Michiela Thuman,News Design Director,Josh Penrod,Presentation Director,,,,,,,,,,,,,,,,,,,,,,,,,
570,,Minneapolis Star Tribune,Minneapolis,Minn.,,Award of Excellence,09-SC,MED-MST1,04-MED,,SL,,40,,10Cb,Special Sections,News/Inside Page(s),Prince of pop. king of style,Kim Maxwell Vu,Senior Designer,Josh Penrod,Presentation Director,Derek Simmons,A.M.E./Visuals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
972,,Minneapolis Star Tribune,Minneapolis,Minn.,,Award of Excellence,09-SC,MED-MST1,04-MED,,SL,,40,,10Cb,Special Sections,News/Inside Page(s),Always electrifying,Kim Maxwell Vu,Senior Designer,Greg Mees,Lead News Designer,Mike Rice,Features Design Director,Josh Penrod,Presentation Director,Derek Simmons,A.M.E./Visuals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
974,,Minneapolis Star Tribune,Minneapolis,Minn.,,Award of Excellence,09-SC,MED-MST1,04-MED,,SL,,40,,10Ca,Special Sections,News/Section Cover,Prince,Derek Simmons,A.M.E./Visuals,Robert Carter,Illustrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
976,,Minneapolis Star Tribune,Minneapolis,Minn.,,Award of Excellence,09-SC,MED-MST1,04-MED,,SL,,40,,10Ca,Special Sections,News/Section Cover,Prince,Derek Simmons,A.M.E./Visuals,Robert Carter,Illustrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
982,,Minneapolis Star Tribune,Minneapolis,Minn.,,Award of Excellence,09-SC,MED-MST1,04-MED,,SL,,40,,10Ca,Special Sections,News/Section Cover,Prince (BW photo),Derek Simmons,A.M.E./Visuals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991,,Minneapolis Star Tribune,Minneapolis,Minn.,,Award of Excellence,09-SC,MED-MST1,04-MED,,SL,,40,,10Aa,Special Sections,News/With ads,Prince,Derek Simmons,A.M.E./Visuals,Greg Mees,Lead News Designer,Mike Rice,Features Design Director,Kim Maxwell Vu,Senior Designer,Josh Penrod,Presentation Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
