ref,the,publication,city,state,country,award,section,section_multiple,CHAP,SUBFOLDER,page_designer,est,page,comment,cat,general_category,specific_category,headline,name1,title1,name2,title2,name3,title3,name4,title4,name5,title5,name6,title6,name7,title7,name8,title8,name9,title9,name10,title10,,SECTION,PRELIM COUNT,,SECTION,GENERAL CATEGORY,PRELIM COUNT,,CHAP,winners,entries,,,SUBFOLDER,,,,AWARD,
1077,,Minneapolis Star Tribune,Minneapolis,Minn.,,Award of Excellence,04-MED,MED-MST2,04-MED,,SL,,35,,19,Miscellaneous,,The fatal 61 seconds,Derek Simmons,A.M.E./Visuals,Rafael Alvarez,Illustrator,Mark Boswell,Graphic Artist,Greg Mees,Lead News Designer,Josh Penrod,Presentation Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
571,,Minneapolis Star Tribune,Minneapolis,Minn.,,Silver,04-MED,MED-MST2,04-MED,,SL,,35,,03Ea,News Design [Pages],"Inside page/Broadsheet 175,000 and over",The fatal 61 seconds,Derek Simmons,A.M.E./Visuals,Josh Penrod,Presentation Director,Greg Mees,Lead News Designer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
856,,National Geographic Magazine,Washington,D.C.,,Award of Excellence,09-SC,MED-NG1,04-MED,,SL,,24,,20C,Combination Print & Digital,Features,Yellowstone,Martin Gamache,Graphic Editor,Brian Jacobs,Digital Design,Julia Smith,Digital Design,Vitomir Zarovic,Digital Design,Joe Riis,Video,David Guttenfelder,Photographer,Charlie Hamilton James,Photographer,Theodore A. Sickley,G.I.S.,Jeremy Berlin,Text,,,,,,,,,,,,,,,,,,,,,
864,,National Geographic Magazine,Washington,D.C.,,Award of Excellence,09-SC,MED-NG1,04-MED,,SL,,24,,20C,Combination Print & Digital,Features,Yellowstone,Manuel Canales,Graphic Editor,Daisy Chung,Digital Design and Development,Daniela Santamarina,Digital Design and Development,Swordsweeper Industries,Digital Design and Development,Ronald Paniagua,Art and Animation,Charles Preppernau,"Art and Animation, Cartography",Hernan Canellas,Art and Animation,Andrew Umentum,Cartographer,Theodore A. Sickley,G.I.S.,,,,,,,,,,,,,,,,,,,,,
875,,National Geographic Magazine,Washington,D.C.,,Award of Excellence,08-VISUAL,MED-NG1,04-MED,,SL,,24,,16Be,Information Graphics [Single],Features/Non-Deadline ,The Pulse of the Park,Martin Gamache,Graphic Editor,Theodore A. Sickley,G.I.S. Specialist,Jeremy Berlin,Text,Gus Platis,Map Editor,Brad Scriber,Researcher,Arthur Middleton,Scientific Adviser,Kaitlin M. Yarnall,"Executive Editor, Cartography, Art, and Graphics",Emmet Smith,Creative Director,Susan Goldberg,Editor-in-Chief,,,,,,,,,,,,,,,,,,,,,
880,,National Geographic Magazine,Washington,D.C.,,Award of Excellence,08-VISUAL,MED-NG1,04-MED,,SL,,24,,16Be,Information Graphics [Single],Features/Non-Deadline ,A Fragile Web,Mónica Serrano,Graphic Editor,Shelly Sperry,Researcher,Kaitlin M. Yarnall,"Executive Editor, Cartography, Art, and Graphics",Emmet Smith,Creative Director,Susan Goldberg,Editor-in-Chief,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
659,,National Geographic Magazine,Washington,D.C.,,Award of Excellence,07-FEA,MED-NG1,04-MED,,SL,,24,,12C,Magazines,Cover Design,Yellowstone,Jordan Metcalf,Illustrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520,,National Geographic Magazine,Washington,D.C.,,Gold,04-MED,MED-NG1,04-MED,,SL,2.00,24,,05A,Special News Topics,Editor's Choice: Local/Regional,Yellowstone,Kathy Moran,Senior Photo Editor,Martin Gamache,Senior Graphics Editor,Monica Serrano,Senior Graphics Editor,Manuel Canales,Senior Graphics Editor,David Quammen,Reporter,Jamie Shreeve,Editor,Bill Marr,Creative Director,Chris Johns,Editor-in-Chief,Emmet Smith,Creative Director,Susan Goldberg,Editor-in-Chief,,,,,,,,,,,,,,,,,,,
844,,National Geographic Magazine,Washington,D.C.,,Award of Excellence,09-SC,MED-NG2,04-MED,,SL,,22,,20C,Combination Print & Digital,Features,Sizing up Sharks,Fernando G. Baptista,Graphic Editor,Chiqui Esteban,Digital Layout,Daisy Chung,Graphics Assistant,Lawson Parker,Art Assistant,Shizuka Aoki,Art Assistant,Ryan T. Williams,Researcher,Fanna Gebreyesus,Researcher,Jaime Hritsik,Digital Development,,,,,,,,,,,,,,,,,,,,,,,
603,,National Geographic Magazine,Washington,D.C.,,Gold & JSR,04-MED,MED-NG2,04-MED,,SL,,23,,17E,Information Graphics [Multiple],Individual Portfolio,A Changing Pacific Coast,Fernando G. Baptista,Graphic Editor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599,,National Geographic Magazine,Washington,D.C.,,Silver,04-MED,MED-NG2,04-MED,,SL,,22,,16Be,Information Graphics [Single],Features/Non-Deadline ,Sharks: Perfect Predators,Fernando G. Baptista,Graphic Editor,Daisy Chung,Graphic Assistant,Lawson Parker,Art Assistant,Shizuka Aoki,Art Assistant,Ryan T. Williams,Researcher,John Tomanio,Graphic Director,Emmet Smith,Creative Director,Susan Goldberg,Editor-in-Chief,,,,,,,,,,,,,,,,,,,,,,,
602,,National Geographic Magazine,Washington,D.C.,,Gold & JSR,04-MED,MED-NG2,04-MED,,SL,2.00,22,,16Be,Information Graphics [Single],Features/Non-Deadline ,A Changing Pacific Coast,Fernando G. Baptista,Graphic Editor,Daisy Chung,Graphic Assistant,Lauren James,Graphic Assistant,Patricia Healy,Researcher,Craig Welch,Text,Damien Saunder,Cartographer Director,John Tomanio,Graphic Director,Emmet Smith,Creative Director,Susan Goldberg,Editor-in-Chief,,,,,,,,,,,,,,,,,,,,,
808,,National Geographic Magazine,Washington,D.C.,,Award of Excellence,08-VISUAL,MED-NG2,04-MED,,SL,,23,,16Be,Information Graphics [Single],Features/Non-Deadline ,Armed With Intelligence,Fernando G. Baptista,Graphic Editor,Shizuka Aoki,Art Assistant,Mesa Schumacher,Researcher,Damien Saunder,Cartographer,John Tomanio,Graphic Director,Emmet Smith,Creative Director,Susan  Goldberg,Editor-in-Chief,,,,,,,,,,,,,,,,,,,,,,,,,
822,,National Geographic Magazine,Washington,D.C.,,Award of Excellence,08-VISUAL,MED-NG2,04-MED,,SL,,23,,16Be,Information Graphics [Single],Features/Non-Deadline ,Unearthing London,Fernando G. Baptista,Graphic Editor,Lauren C. Tierney,Cartographer,Victoria Sgarro,Researcher,Daisy Chung,Graphic Artist,Kaitlin M Yarnall,"Executive Editor, Cartography, Art and Graphics",Emmet Smith,Creative Director,Susan Goldberg,Editor-in-Chief,,,,,,,,,,,,,,,,,,,,,,,,,
900,,National Geographic Magazine,Washington,D.C.,,Award of Excellence,08-VISUAL,MED-NG2,04-MED,,SL,,23,,16Be,Information Graphics [Single],Features/Non-Deadline ,Among the Orangutans,Fernando G. Baptista,Graphic Editor,Matthew W. Chwastyk,Cartographer,Ryan Williams,Researcher,Manyun Zou,Researcher,Damien Saunder,Cartographer Director,John Tomanio,Graphic Director,Emmet Smith,Creative Director,Susan Goldberg,Editor-in-Chief,,,,,,,,,,,,,,,,,,,,,,,
904,,National Geographic Magazine,Washington,D.C.,,Award of Excellence,08-VISUAL,MED-NG2,04-MED,,SL,,22,,16Be,Information Graphics [Single],Features/Non-Deadline ,Sharks: Lords of the Sea,Fernando G. Baptista,Graphic Editor,Daisy Chung,Graphics Assistant,Ryan T. Williams,Researcher,Fanna Gebreyesus,Researcher,John Tomanio,Graphic Director,Emmet Smith,Creative Director,Susan Goldberg,Editor-in-Chief,,,,,,,,,,,,,,,,,,,,,,,,,
597,,National Geographic Magazine,Washington,D.C.,,Silver,04-MED,MED-NG3,04-MED,,SL,1.00,62,,17F,Information Graphics [Multiple],Staff Portfolio,Portfolio,Staff ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605,,National Geographic Magazine,Washington,D.C.,,JSR (Overall),04-MED,MED-NG3,04-MED,,SL,0.50,67,,16Be,Information Graphics [Single],Features/Non-Deadline ,"Ref # 600, 601, 602, 603",Staff ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,,National Post,Toronto,Ont.,CANADA,Award of Excellence,07-FEA,MED-NP1,04-MED,,,,46,,07Bb,Features Design [Pages],"Arts & Entertainment/Broadsheet 50,000-174,999",The Fest is Yet to Come,Chloe Cushmanl,Illustrator,Geneviéve Biloski,Features Design Director,Dustin Parkes,Arts & Culture Editor,Anne Marie Owens,Editor-in-Chief,Gayle Grin,Creative Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
667,,National Post,Toronto,Ont.,CANADA,Silver,04-MED,MED-NP1,04-MED,,SL,,46,,06Fb,Features Design [Sections],"Other 50,000-174,999","May 9, Sept 3, Oct 29",Geneviéve Biloski,Features Design Director,Dustin Parkes,Art & Culture Editor,Anne Marie Owens,Editor-in-Chief,Gayle Grin,Creative Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
833,The,New York Times,New York,N.Y.,,Silver,04-MED,MED-NYT1,04-MED,,SL,,18,,20A,Combination Print & Digital,News,‘They are slaughtering us like animals’,Fred Bierman,Designer,David Furst,Picture Editor,Daniel Berehulak,Photographer,Craig Allen,Producer,Rodrigo De Benito Sanz,Producer,Jeffrey Marcus,Producer,Sergio Peçanha,Producer,Jodi Rudoren,Producer,,,,,,,,,,,,,,,,,,,,,,,
593,The,New York Times,New York,N.Y.,,Award of Excellence,06-NEWS,MED-NYT1,04-MED,,SL,,18,,03Ga,News Design [Pages],"Cover Story/Broadsheet 175,000 and over",They are slaughtering us like animals,Fred Bierman,Designer,David Furst,Picture Editor,Daniel Berehulak,Photographer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,The,New York Times,New York,N.Y.,,Gold,04-MED,MED-NYT1,04-MED,,SL,2.00,18,,15A,Photography [Multiple Photos],Single-Day Photo Series,"‘They Are Slaughtering Us Like Animals,’ 12/8 A1, A8-11
Gold",Fred Bierman,Designer,Daniel Berehulak,Photographer,David Furst,Picture Editor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,The,New York Times,New York,N.Y.,,Silver,04-MED,MED-NYT1,04-MED,,SL,,18,,14C,Photography [Single Photos],News Feature,“They Are Slaughtering Us Like Animals” A8-9 image,Daniel Berehalak,Photographer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,The,New York Times,New York,N.Y.,,Award of Excellence,08-VISUAL,MED-NYT1,04-MED,,SL,,18,,14C,Photography [Single Photos],News Feature,"They Are Slaughtering Us Like Animals, 12/8, A1",Daniel Berehalak,Photographer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
977,The,New York Times,New York,N.Y.,,Silver,04-MED,MED-NYT2,04-MED,,SL,0.50,50,,20B,Combination Print & Digital,Sports,Decisive Moments,Sergio Pecanha,Graphics Editor,Joe Ward,Graphics Editor,Jeremy White,Graphics Editor,Derek Watkins,Graphics Editor,Larry Buchanan,Graphics Editor,K.K.Rebecca Lai,Graphics Editor,Bedel Saget,Graphics Editor,Jeffrey Furticella,Photographer,,,,,,,,,,,,,,,,,,,,,,,
400,The,New York Times,New York,N.Y.,,Award of Excellence,08-VISUAL,MED-NYT2,04-MED,,SL,,50,,16Bc,Information Graphics [Single],Sports/Non-Deadline ,"Decisive Moments, Frame by Frame, 8/22 SP6-7",Larry Buchanan,Graphics Editor,Jeffrey Furticella,Picture Editor,K.K. Rebecca Lai,Graphics Editor,Sergio Peçanha,Graphics Editor,Bedel Saget,Graphics Editor,Joe Ward,Graphics Editor,Derek Watkins,Graphics Editor,Jeremy White,Graphics Editor,,,,,,,,,,,,,,,,,,,,,,,
588,The,New York Times,New York,N.Y.,,Award of Excellence,06-NEWS,MED-NYT2,04-MED,,SL,,50,,03Fa,News Design [Pages],"Sports/Broadsheet 175,000 and over","Decisive Moments, Frame by Frame, 8/22 D6-7",Sergio Peçanha,Graphics Editor,Joe Ward,Graphics Editor,Jeremy White,Graphics Editor,Derek Watkins,Graphics Editor,Jeffrey Furticella,Picture Editor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,The,New York Times,New York,N.Y.,,Award of Excellence,08-VISUAL,MED-NYT2,04-MED,,SL,,50,,14I,Photography [Single Photos],Photo Illustration,"Decisive Moments, Frame by Frame",Sergio Peçanha,Graphics Editor,Joe Ward,Graphics Editor,Jeremy White,Graphics Editor,Derek Watkins,Graphics Editor,Jeffrey Furticella,Picture Editor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
952,The,New York Times,New York,N.Y.,,Silver,04-MED,MED-NYT3,04-MED,,SL,,52,,20B,Combination Print & Digital,Sports,"The Fine Line, 8/5 F-Section (Medal Moves)",Rodrigo De Benito Sanz,Digital Designer,Alicia DeSantis,Graphics Editor,Alexandra Garcia,Senior Video Journalist,Mika Grondahl,Graphics Editor,Evan Grothjan,Graphics Editor,Taige Jensen,Video Editor,Yuliya Parshina-Kottas,Graphics Editor,Bedel Saget,Graphics Editor,,,,,,,,,,,,,,,,,,,,,,,
1059,The,New York Times,New York,N.Y.,,Award of Excellence,08-VISUAL,MED-NYT3,04-MED,,SL,,52,,13Ba,Illustration,Sports/Color,"Medal Moves, 8/5",Tomasz Usyk,Illustrator,Fred Bierman,Art Director,Wayne Kamidoi,Art Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457,The,New York Times,New York,N.Y.,,Silver,04-MED,MED-NYT3,04-MED,,SL,1.00,52,,16Bc,Information Graphics [Single],Sports/Non-Deadline ,"Medal Moves, 8/5 F1, F4-5",Tomasz Usyk,Illustrator,Joe Ward,Graphics Editor,Bedel Saget,Graphics Editor,Fred Bierman,Designer,Wayne Kamidoi,Designer,Leslye Davis,Photographer,Larry Buchanan ,Graphics Editor,,,,,,,,,,,,,,,,,,,,,,,,,
959,The,New York Times,New York,N.Y.,,Award of Excellence,09-SC,MED-NYT3,04-MED,,SL,,52,,19,Miscellaneous,,"Medal Moves, 8/5 F1-5",Tomasz Usyk,Illustrator,Joe Ward,Graphics Editor,Bedel Saget,Graphics Editor,Fred Bierman,Designer,Wayne Kamidoi,Designer,Leslye Davis,Photographer,Larry Buchanan,Graphics Editor,,,,,,,,,,,,,,,,,,,,,,,,,
272,The,New York Times,New York,N.Y.,,Award of Excellence,06-NEWS,MED-NYT3,04-MED,,SL,,52,,05H,Special News Topics,Summer Olympics in Rio,"Simone Biles, 8/5 F1, 4, 5; 8/10 B7, B8-9; 8/12 B10-11; 8/14 B7",Wayne Kamidoi,Designer,Fred Bierman,Designer,Andrew Braford,Designer,Jeffrey Furticella,Picture Editor,Becky Lebowitz Hanger,Picture Editor,Tomasz Usyk,Illustrator,Joe Ward,Graphics Editor,Bedel Saget,Graphics Editor,Larry Buchanan,Graphics Editor,,,,,,,,,,,,,,,,,,,,,
836,The,New York Times,New York,N.Y.,,Silver,04-MED,MED-NYT4,04-MED,,SL,0.50,44,,20C,Combination Print & Digital,Features,"The Music Issue, 3/13",Gail Bichler,Design Director,Matt Willey,Art Director,Jason Sfetko,Deputy Art Director,Frank Augugliario,Designer,Ben Grandgenett,Designer,Chloe Scheffe,Designer,Kathy Ryan,Director of Photography,Rodrigo de Benito Sanz,Digital Design,Linsey Fields,Digital Design,,,,,,,,,,,,,,,,,,,,,
933,The,New York Times,New York,N.Y.,,Silver,04-MED,MED-NYT4,04-MED,,SL,,44,,12B,Magazines,Special Sections,The Music Issue 3/13,Gail Bichler,Design Director,Matt Willey,Art Director,Jason Sfetko,Deputy Art Director,Frank Augugliario,Designer,Ben Grandgenett,Designer,Chloe Scheffe,Designer,Kathy Ryan,Director of Photography,,,,,,,,,,,,,,,,,,,,,,,,,
897,,Omaha World-Herald,Omaha,Neb.,,Silver,04-MED,MED-OWH1,04-MED,,SL,,60,,03Hb,News Design [Pages],"Cover Story/Broadsheet 50,000-174,999",College Football Preview,Tim Parks,Deputy Presentation and Planning editor,Matt Haney,Illustrator,Katie Myrick Parks,Digital Designer,Kent Sievers,Photographer,Brendan Sullivan,Photographer,Ryan Soderlin,Photographer,Thad Livingston,Sports Editor,Graham Archer,Deputy Sports Editor,Jeff Bundy,Director/Photography,Dave Elsesser,Presentation and planning editor,,,,,,,,,,,,,,,,,,,
595,,Omaha World-Herald,Omaha,Neb.,,Silver,04-MED,MED-OWH1,04-MED,,SL,0.50,60,,03Cb,News Design [Pages],"Sports/Broadsheet 50,000-174,999",Big Ten tune-up,Tim Parks,Deputy presentation and planning editor,Matt Haney,Illustrator,Katie Myrick Parks,Digital designer,Thad Livingston,Sports Editor,Graham Archer,Deputy Sports Editor,Dave Elsesser,Presentation and planning editor,,,,,,,,,,,,,,,,,,,,,,,,,,,
642,,Omaha World-Herald,Omaha,Neb.,,Award of Excellence,09-SC,MED-OWH1,04-MED,,SL,,60,,10Cd,Special Sections,Sports/Inside Page(s),Man vs machine,Katie Myrick Parks,Digital Designer,Matt Haney,Artist,Thad Livingston,Sports Editor,Graham Archer,Deputy Sports Editor,Tim Parks,Deputy Presentation & Planning Editor,Dave Elsesser,Presentation & Planning Editor,,,,,,,,,,,,,,,,,,,,,,,,,,,
949,,Omaha World-Herald,Omaha,Neb.,,Award of Excellence,09-SC,MED-OWH1,04-MED,,SL,,60,,10Cd,Special Sections,Sports/Inside Page(s),The inner workings,Katie Myrick Parks,Digital designer,Tim Parks,Deputy presentation and planning editor,Thad Livingston,Sports Editor,Graham Archer,Deputy Sports Editor,Dave Elsesser,Presentation and planning editor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
953,,Omaha World-Herald,Omaha,Neb.,,Award of Excellence,09-SC,MED-OWH1,04-MED,,SL,,60,,10Cd,Special Sections,Sports/Inside Page(s),Rebuilding the Big Red Machine,Tim Parks,Deputy presentation and planning editor,Matt Haney,Artist,Katie Myrick Parks,Digital designer,Photo Staff ,,Thad Livingston,Sports Editor,Graham Archer,Deputy Sports Editor,Jeff Bundy,Director/Photography,Dave Elsesser,Presentation and planning editor,,,,,,,,,,,,,,,,,,,,,,,
800,,Omaha World-Herald,Omaha,Neb.,,Award of Excellence,09-SC,MED-OWH1,04-MED,,SL,,60,,10Cc,Special Sections,Sports/Section Cover,Big Ten Tune-Up,Tim Parks,Deputy presentation and planning editor,Matt Haney,Illustrator,Katie Myrick Parks,Digital designer,Thad Livingston,Sports Editor,Graham Archer,Deputy Sports Editor,Dave Elssesser,Presentation & Planning Editor,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080,,Omaha World-Herald,Omaha,Neb.,,Gold,04-MED,MED-OWH2,04-MED,,SL,1.00,21,,03Hb,News Design [Pages],"Cover Story/Broadsheet 50,000-174,999",Sam Foltz,Tim Parks,Deputy presentation and planning editor,Matt Haney,Illustrator,Katie Myrick Parks,Digital designer,Ryan Soderlin,Photographer,Megan Farmer,Photographer,Matt Miller,Photographer,Thad Livingston,Sports Editor,Graham Archer,Deputy Sports Editor,Jeff Bundy,Director/Photography,Dave Elsesser,Presentation and planning editor,,,,,,,,,,,,,,,,,,,
729,,Omaha World-Herald,Omaha,Neb.,,Award of Excellence,06-NEWS,MED-OWH2,04-MED,,SL,,21,,03Fb,News Design [Pages],"Sports/Broadsheet 50,000-174,999",A seasoning salute,Tim Parks,Deputy Presentation & Planning Editor,Katie Myrick Parks,Digital designer,Ryan Soderlin,Photographer,Zach Long,Photographer,Brendan Sullivan,Photographer,Thad Livingston,Sports Editor,Graham Archer,Deputy Sports Editor,Jeff Bundy,Director of Photography,Dave Elsesser,Production Editor,,,,,,,,,,,,,,,,,,,,,
733,,Omaha World-Herald,Omaha,Neb.,,Award of Excellence,06-NEWS,MED-OWH2,04-MED,,SL,,21,,03Fb,News Design [Pages],"Sports/Broadsheet 50,000-174,999",Dear Gerald and Jill,Katie Myrick Parks,Digital designer,Tim Parks,Deputy presentation and planning editor,Thad Livingston,Sports Editor,Graham Archer,Deputy Sports Editor,Jeff Bundy,Director/Photography,Matt Miller,Photographer,Dave Elsesser,Presentation and planning editor,,,,,,,,,,,,,,,,,,,,,,,,,
753,,Omaha World-Herald,Omaha,Neb.,,Silver,04-MED,MED-OWH2,04-MED,,SL,,61,,08Gb,Page Design [Staff Portfolio],"Sports 50,000-174,999",Sports staff portfolio,Tim Parks,Deputy presentation and planning editor,Matt Haney,Illustrator,Katie Myrick Parks,Digital designer,Thad Livingston,Sports Editor,Graham Archer,Deputy Sports Editor,Photo Staff ,,Jeff Bundy,Director/Photography,Dave Elsesser,Presentation & Planning Editor,,,,,,,,,,,,,,,,,,,,,,,
647,,Omaha World-Herald,Omaha,Neb.,,Award of Excellence,09-SC,MED-OWH2,04-MED,,SL,,21,,10Cd,Special Sections,Sports/Inside Page(s),A seasoning salute,Tim Parks,Deputy Presentation & Planning Editor,Katie Myrick Parks,Digital designer,Ryan Soderlin,Photographer,Zach Long,Photographer,Brendan Sullivan,Photographer,Thad Livingston,Sports Editor,Graham Archer,Deputy Sports Editor,Jeff Bundy,Director of Photography,Dave Elsesser,Production Editor,,,,,,,,,,,,,,,,,,,,,
805,,Omaha World-Herald,Omaha,Neb.,,Award of Excellence,09-SC,MED-OWH2,04-MED,,SL,,21,,10Cd,Special Sections,Sports/Inside Page(s),Dear Gerald and Jill,Katie Myrick Parks,Digital designer,Tim Parks,Deputy presentation and planning editor,Thad Livingston,Sports Editor,Graham Archer,Deputy Sports Editor,Jeff Bundy,Director/Photography,Matt Miller,Photographer,Dave Elsesser,Presentation and planning editor,,,,,,,,,,,,,,,,,,,,,,,,,
950,,Omaha World-Herald,Omaha,Neb.,,Award of Excellence,09-SC,MED-OWH2,04-MED,,SL,,21,,10Cd,Special Sections,Sports/Inside Page(s),Remembering Sam Foltz,Tim Parks,Deputy presentation and planning editor,Matt Haney,Artist,Katie Myrick Parks,Digital designer,Thad Livingston,Sports Editor,Graham Archer,Deputy Sports Editor,Dave Elsesser,Presentation and planning editor,,,,,,,,,,,,,,,,,,,,,,,,,,,
809,,Omaha World-Herald,Omaha,Neb.,,Award of Excellence,09-SC,MED-OWH2,04-MED,,SL,,21,,10Ac,Special Sections,Sports/With ads,Remembering Sam Foltz,Tim Parks,Deptuy presentation and planning editor,Katie Myrick Parks,Digital Designer,Matt Haney,Artist,Ryan Soderlin,Photographer,Brendan Sullivan,Photographer,Photo staff ,,Thad Livingston,Sports Designer,Graham Archer,Deputy Sports Designer,Jeff Bundy,Director/Photography,Dave Elsesser,Presentation and planning editor,,,,,,,,,,,,,,,,,,,
617,,Omaha World-Herald,Omaha,Neb.,,Award of Excellence,06-NEWS,MED-OWH3,04-MED,,SL,,49,,03Gb,News Design [Pages],"Cover Story/Broadsheet 50,000-174,999","Goodwill, Day 1",Tim Parks,Deputy Presentation & Planning Editor,Matt Haney,Illustrator,Katie Myrick Parks,Digital Designer,Dave Elsesser,Presentation & Planning Editor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
735,,Omaha World-Herald,Omaha,Neb.,,Award of Excellence,06-NEWS,MED-OWH3,04-MED,,SL,,49,,03Gb,News Design [Pages],"Cover Story/Broadsheet 50,000-174,999","Goodwill, Day 2",Tim Parks,Deputy presentation and planning editor,Matt Haney,Illustrator,Katie Myrick Parks,Digital designer,Dave Elsesser,Presentation and planning editor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,,Omaha World-Herald,Omaha,Neb.,,Silver,04-MED,MED-OWH3,04-MED,,SL,0.50,49,,05A,Special News Topics,Editor's Choice: Local/Regional,Goodwill,Tim Parks,Deputy presentation and planning editor,Matt Haney,Illustrator,Katie Myrick Parks,Digital designer,Dave Elsesser,Presentation and planning editor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
632,,Omaha World-Herald,Omaha,Neb.,,Award of Excellence,06-NEWS,MED-OWH5,04-MED,,SL,,61,,03Cb,News Design [Pages],"Sports/Broadsheet 50,000-174,999",Music City Bowl,Tim Parks,Deputy presentation and planning editor,Matt Haney,Illustrator,Katie Myrick Parks,Digital designer,Thad Livingston,Sports Editor,Graham Archer,Deputy Sports Editor,Dave Elsesser,Presentation & Planning Editor,,,,,,,,,,,,,,,,,,,,,,,,,,,
474,,Omaha World-Herald,Omaha,Neb.,,Award of Excellence,06-NEWS,MED-OWH5,04-MED,,SL,,61,,03Fb,News Design [Pages],"Sports/Broadsheet 50,000-174,999","24 races, 22 medals",Tim Parks,Deputy presentation and planning editor,Matt Haney,Illustrator,Katie Myrick Parks,Digital designer,Thad Livingston,Sports Editor,Graham Archer,Deputy Sports Editor,Dave Elsesser,Presentation & Planning Editor,,,,,,,,,,,,,,,,,,,,,,,,,,,
542,,Omaha World-Herald,Omaha,Neb.,,Award of Excellence,06-NEWS,MED-OWH5,04-MED,,SL,,61,,03Fb,News Design [Pages],"Sports/Broadsheet 50,000-174,999",A place in the sky,Margaret Riedel,Lead Sports Designer,Tim Parks,Deputy presentation and planning editor,Ryan Soderlin,Photographer,Thad Livingston,Sports Editor,Jeff Bundy,Director/Photography,Dave Elsesser,Presentation and planning editor,,,,,,,,,,,,,,,,,,,,,,,,,,,
727,,Omaha World-Herald,Omaha,Neb.,,Award of Excellence,11-PORT,MED-OWH5,04-MED,,SL,,61,,08Eb,Page Design [Individual Portfolio],"Combination 50,000-174,999",Combination portfolio,Tim Parks,Deputy Presentation & Planning Editor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
718,,Omaha World-Herald,Omaha,Neb.,,Silver,04-MED,MED-OWH5,04-MED,,SL,1.00,61,,08Bb,Page Design [Individual Portfolio],"Sports 50,000-174,999",Sports portfolio,Tim Parks,Deputy Presentation & Planning Editor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,,Omaha World-Herald,Omaha,Neb.,,Silver,04-MED,MED-OWH6,04-MED,,SL,,60,,09B,Special Coverage,Sports,,Tim Parks,Deptuy presentation and planning editor,Katie Myrick Parks,Digital Designer,Matt Haney,Artist,Jessica Thompson,Designer,Thad Livingston,Sports Editor,Graham Archer,Deputy Sports Designer,Jeff Bundy,Director/Photography,Photo Staff ,,Dave Elsesser,Presentation and planning editor,,,,,,,,,,,,,,,,,,,,,
186,,Omaha World-Herald,Omaha,Neb.,,Silver,04-MED,MED-OWH6,04-MED,,SL,1.00,60,,05D,Special News Topics,Editor's Choice: Sports,Husker Football,Tim Parks,Deputy Presentation Editor,Katie Myrick Parks,Digital Designer,Matt Haney,Artist,Jessica Thompson,Designer,Margaret Riedel,Lead Sports Designer,Thad Livingston,Sports Designer,Graham Archer,Deputy Sports Designer,Jeff Bundy,Director of Photography,Dave Elsesser,Presentation and Planning Editor,Photo staff ,,,,,,,,,,,,,,,,,,,,
639,,Omaha World-Herald,Omaha,Neb.,,Award of Excellence,09-SC,MED-OWH6,04-MED,,SL,,60,,10Cc,Special Sections,Sports/Section Cover,Stars in the stands,Katie Myrick Parks,Digital Designer,Matt Haney,Artist,Tim Parks,Deputy Presentation & Planning Editor,Thad Livingston,Sports Editor,Graham Archer,Deputy Sports Editor,Dave Elsesser,Presentation & Planning Editor,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,The,Plain Dealer,Cleveland,Ohio,,Award of Excellence,06-NEWS,MED-PD1,04-MED,,SL,,56,,04D,Breaking News Topics,,Cavaliers NBA Championship,Josh Crutchmer,A.M.E.,Andrea Zagata,Lead Sports Designer,Tony Lariccia,Designer,Gus Chan,Photographer,Thomas Ondrey,Photographer,John Kuntz,Photographer,Joshua Gunter,Photographer,,,,,,,,,,,,,,,,,,,,,,,,,
